,N,,,,,,,,,,,,,,
W,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,,,,0,0,10,4,,92,,724,,,,
1,,,,2,2,10,32,68,200,576,1720,,,,
2,,,,27,16,18,70,260,508,1648,4940,,,,
3,,,,27,256,184,198,844,3166,6692,20786,,,,
4,,,,,256,3125,2642,3208,13044,44882,112514,,,,
5,,,,,,3125,46656,45514,61122,230874,774762,,,,
6,,,,,,,46656,823543,911642,1329378,4850898,,,,
7,,,,,,,,823543,16777216,20793594,32755856,,,,
8,,,,,,,,,16777216,387420489,,,,,
9,,,,,,,,,,387420489,,,,,
10,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,
